id,x,y,size,color
UnchartedDrakesFortune,148.0097747472875,29.25183374859305,9.25061092170547,#546A79
MaddenNFL06,157.26038566899297,29.25183374859305,9.25061092170547,#546A79
MonsterHunterFreedom3,166.51099659069843,29.25183374859305,9.25061092170547,#546A79
GodofWarIII,175.76160751240388,29.25183374859305,9.25061092170547,#546A79
CrashTeamRacing,185.01221843410934,29.25183374859305,9.25061092170547,#546A79
Driver2,194.2628293558148,29.25183374859305,9.25061092170547,#546A79
TheSimpsonsHitRun,203.51344027752026,29.25183374859305,9.25061092170547,#546A79
TonyHawksProSkater2,212.76405119922572,29.25183374859305,9.25061092170547,#546A79
TheLordoftheRingsTheTwoTowers,222.01466212093118,29.25183374859305,9.25061092170547,#546A79
TombRaider,231.26527304263664,29.25183374859305,9.25061092170547,#546A79
UnchartedTheNathanDrakeCollection,240.5158839643421,29.25183374859305,9.25061092170547,#546A79
MaddenNFL2005,249.76649488604755,29.25183374859305,9.25061092170547,#546A79
MaddenNFL07,259.017105807753,29.25183374859305,9.25061092170547,#546A79
SpiderManTheMovie,268.26771672945847,29.25183374859305,9.25061092170547,#546A79
DragonQuestVIIWarriorsofEden,277.51832765116393,29.25183374859305,9.25061092170547,#546A79
CallofDutyInfiniteWarfare,286.7689385728694,29.25183374859305,9.25061092170547,#546A79
GodofWar,296.01954949457485,29.25183374859305,9.25061092170547,#546A79
TonyHawksProSkater3,305.2701604162803,29.25183374859305,9.25061092170547,#546A79
WinningElevenProEvolutionSoccer2007,619.7909317542666,29.25183374859305,9.25061092170547,#546A79
NeedforSpeedMostWanted,629.0415426759721,29.25183374859305,9.25061092170547,#546A79
ResistanceFallofMan,638.2921535976776,29.25183374859305,9.25061092170547,#546A79
KingdomHeartsII,647.5427645193831,29.25183374859305,9.25061092170547,#546A79
BatmanArkhamAsylum,656.7933754410886,29.25183374859305,9.25061092170547,#546A79
MetalGearSolid3SnakeEater,666.0439863627942,29.25183374859305,9.25061092170547,#546A79
AssassinsCreedRevelations,675.2945972844997,29.25183374859305,9.25061092170547,#546A79
Daxter,684.5452082062052,29.25183374859305,9.25061092170547,#546A79
FIFASoccer06,693.7958191279107,29.25183374859305,9.25061092170547,#546A79
EyeToyPlay,703.0464300496162,29.25183374859305,9.25061092170547,#546A79
GranTurismo5Prologue,712.2970409713217,29.25183374859305,9.25061092170547,#546A79
StreetFighterIV,721.5476518930273,29.25183374859305,9.25061092170547,#546A79
Frogger,730.7982628147328,29.25183374859305,9.25061092170547,#546A79
MaddenNFL2003,740.0488737364383,29.25183374859305,9.25061092170547,#546A79
FIFASoccer07,749.2994846581438,29.25183374859305,9.25061092170547,#546A79
Battlefield1,758.5500955798493,29.25183374859305,9.25061092170547,#546A79
GodofWarII,767.8007065015548,29.25183374859305,9.25061092170547,#546A79
WorldSoccerWinningEleven9,777.0513174232603,29.25183374859305,9.25061092170547,#546A79
WatchDogs,786.3019283449659,29.25183374859305,9.25061092170547,#546A79
NamcoMuseumVol3,795.5525392666714,29.25183374859305,9.25061092170547,#546A79
TekkenTagTournament,804.8031501883769,29.25183374859305,9.25061092170547,#546A79
FarCry4,92.50610921705471,38.502444670298516,9.25061092170547,#546A79
NamcoMuseum50thAnniversary,101.75672013876019,38.502444670298516,9.25061092170547,#546A79
TheWitcher3WildHunt,111.00733106046566,38.502444670298516,9.25061092170547,#546A79
AssassinsCreedUnity,120.25794198217113,38.502444670298516,9.25061092170547,#546A79
BatmanArkhamKnight,129.5085529038766,38.502444670298516,9.25061092170547,#546A79
TonyHawksUnderground,138.75916382558205,38.502444670298516,9.25061092170547,#546A79
NBA2K16,148.0097747472875,38.502444670298516,9.25061092170547,#546A79
Tekken5,157.26038566899297,38.502444670298516,9.25061092170547,#546A79
MotorStorm,166.51099659069843,38.502444670298516,9.25061092170547,#546A79
WorldSoccerWinningEleven8International,175.76160751240388,38.502444670298516,9.25061092170547,#546A79
SportsChampions,185.01221843410934,38.502444670298516,9.25061092170547,#546A79
NamcoMuseumVol1,194.2628293558148,38.502444670298516,9.25061092170547,#546A79
TomClancysTheDivision,203.51344027752026,38.502444670298516,9.25061092170547,#546A79
ResidentEvilDirectorsCut,212.76405119922572,38.502444670298516,9.25061092170547,#546A79
RatchetClankSizeMatters,222.01466212093118,38.502444670298516,9.25061092170547,#546A79
HarryPotterandtheSorcerersStone,231.26527304263664,38.502444670298516,9.25061092170547,#546A79
ResidentEvil3Nemesis,240.5158839643421,38.502444670298516,9.25061092170547,#546A79
SpyroYearoftheDragon,249.76649488604755,38.502444670298516,9.25061092170547,#546A79
AssassinsCreedIVBlackFlag,259.017105807753,38.502444670298516,9.25061092170547,#546A79
FIFASoccer2005,268.26771672945847,38.502444670298516,9.25061092170547,#546A79
TonyHawksProSkater4,277.51832765116393,38.502444670298516,9.25061092170547,#546A79
MidnightClub3DUBEdition,286.7689385728694,38.502444670298516,9.25061092170547,#546A79
SOCOMUSNavySEALs,296.01954949457485,38.502444670298516,9.25061092170547,#546A79
