id,x,y
SesameStreetOnceUponAMonster,490.0016396389883,377.01599999999996
MajorLeagueBaseball2K10,514.5016396389883,377.01599999999996
TheSaboteur,539.0016396389883,377.01599999999996
NHL09,563.5016396389883,377.01599999999996
DeadorAliveUltimate,588.0016396389883,377.01599999999996
MajorLeagueBaseball2K12,612.5016396389883,377.01599999999996
DanceDanceRevolutionUniverse2,637.0016396389883,377.01599999999996
NBAStreetHomecourt,661.5016396389883,377.01599999999996
AloneintheDark,686.0016396389883,377.01599999999996
YoureintheMovies,710.5016396389883,377.01599999999996
SceneItLightsCameraAction,735.0016396389883,377.01599999999996
DarkSector,759.5016396389883,377.01599999999996
MajorLeagueBaseball2K13,784.0016396389883,377.01599999999996
RockBand4,808.5016396389883,377.01599999999996
VivaPinataTroubleinParadise,833.0016396389883,377.01599999999996
DragonAgeOriginsAwakening,857.5016396389883,377.01599999999996
Shadowrun,882.0016396389883,377.01599999999996
RiseofNightmares,906.5016396389883,377.01599999999996
DeadorAlive4,931.0016396389883,377.01599999999996
TopSpin,955.5016396389883,377.01599999999996
VinDieselWheelman,980.0016396389883,377.01599999999996
TheChroniclesofRiddickEscapefromButcherBay,1004.5016396389883,377.01599999999996
StarWarsJediKnightJediAcademy,73.50163963898831,401.51599999999996
EnemyTerritoryQuakeWars,98.00163963898831,401.51599999999996
MajorLeagueBaseball2K11,122.50163963898831,401.51599999999996
TNAiMPACT,147.0016396389883,401.51599999999996
WWEWrestleMania21,171.5016396389883,401.51599999999996
SilentHillHomecoming,196.0016396389883,401.51599999999996
BrunswickProBowling,220.5016396389883,401.51599999999996
TheGodfatherUSsales,245.0016396389883,401.51599999999996
VikingBattleforAsgard,269.5016396389883,401.51599999999996
TransformersFallofCybertron,294.0016396389883,401.51599999999996
RobertLudlumsTheBourneConspiracy,318.5016396389883,401.51599999999996
ChildofEden,343.0016396389883,401.51599999999996
CommandConquer3TiberiumWars,367.5016396389883,401.51599999999996
DanceDanceRevolutionUltramix2,392.0016396389883,401.51599999999996
DoublePackFindingNemoTheIncredibles,416.5016396389883,401.51599999999996
LordoftheRingsTheThirdAge,441.0016396389883,401.51599999999996
StarWarsStarfighterSpecialEdition,465.5016396389883,401.51599999999996
CondemnedCriminalOrigins,490.0016396389883,401.51599999999996
TomClancysRainbowSixLockdown,514.5016396389883,401.51599999999996
TimeShift,539.0016396389883,401.51599999999996
FantasticPets,563.5016396389883,401.51599999999996
SpiderManWebofShadows,588.0016396389883,401.51599999999996
JustDanceKids2,612.5016396389883,401.51599999999996
BeowulfTheGame,637.0016396389883,401.51599999999996
Overlord,661.5016396389883,401.51599999999996
TheGunstringer,686.0016396389883,401.51599999999996
RapalaProBassFishing2010,710.5016396389883,401.51599999999996
TheHouseofTheDeadIII,735.0016396389883,401.51599999999996
TheDarknessII,759.5016396389883,401.51599999999996
TomClancysGhostRecon2SummitStrike,784.0016396389883,401.51599999999996
HunterTheReckoning,808.5016396389883,401.51599999999996
DanceDanceRevolutionUltramix3,833.0016396389883,401.51599999999996
NBAInsideDrive2002,857.5016396389883,401.51599999999996
KingdomUnderFireCircleofDoom,882.0016396389883,401.51599999999996
Quake4,906.5016396389883,401.51599999999996
WantedWeaponsofFate,931.0016396389883,401.51599999999996
ZooTycoon2013,955.5016396389883,401.51599999999996
MechAssault2LoneWolf,980.0016396389883,401.51599999999996
Shrek,1004.5016396389883,401.51599999999996
KinectimalsNowwithBears,73.50163963898831,426.01599999999996
XboxMusicMixer,98.00163963898831,426.01599999999996
Tropico4,122.50163963898831,426.01599999999996
SupremeCommander2,147.0016396389883,426.01599999999996
TenchuZ,171.5016396389883,426.01599999999996
KameoElementsofPower,196.0016396389883,426.01599999999996
HarryPotterandtheDeathlyHallowsPart2,220.5016396389883,426.01599999999996
DeusExInvisibleWar,245.0016396389883,426.01599999999996
TheKingofFightersXIII,269.5016396389883,426.01599999999996
Fracture,294.0016396389883,426.01599999999996
NinjaBlade,318.5016396389883,426.01599999999996
NarutoRiseofaNinja,343.0016396389883,426.01599999999996
DECASportsFreedom,367.5016396389883,426.01599999999996
GoldenAxeBeastRider,392.0016396389883,426.01599999999996
BattlestationsPacific,416.5016396389883,426.01599999999996
MinutetoWinIt,441.0016396389883,426.01599999999996
OverlordII,465.5016396389883,426.01599999999996
DanceDanceRevolutionUniverse,490.0016396389883,426.01599999999996
BeautifulKatamari,514.5016396389883,426.01599999999996
Singularity,539.0016396389883,426.01599999999996
CarnivalGamesMonkeySeeMonkeyDo,563.5016396389883,426.01599999999996
Prey,588.0016396389883,426.01599999999996
NFLFever2004,612.5016396389883,426.01599999999996
KingdomUnderFireTheCrusaders,637.0016396389883,426.01599999999996
CliveBarkersJericho,661.5016396389883,426.01599999999996
ShenmueII,686.0016396389883,426.01599999999996
NBAInsideDrive2003,710.5016396389883,426.01599999999996
YuGiOhTheDawnofDestiny,735.0016396389883,426.01599999999996
NamcoMuseumVirtualArcade,759.5016396389883,426.01599999999996
Fuel,784.0016396389883,426.01599999999996
StarWarsJediKnightIIJediOutcast,808.5016396389883,426.01599999999996
LordoftheRingsBattleforMiddleEarth,833.0016396389883,426.01599999999996
JonahLomuRugbyChallenge,857.5016396389883,426.01599999999996
BruceLeeQuestoftheDragon,882.0016396389883,426.01599999999996
MidtownMadness3,906.5016396389883,426.01599999999996
NASCAR2011TheGame,931.0016396389883,426.01599999999996
MagnaCarta2,955.5016396389883,426.01599999999996
PowerUpHeroes,980.0016396389883,426.01599999999996
DanceDanceRevolutionUniverse3,1004.5016396389883,426.01599999999996
AMFBowling2004,73.50163963898831,450.51599999999996
N3NinetyNineNights,98.00163963898831,450.51599999999996
GuitarHeroVanHalen,122.50163963898831,450.51599999999996
OutlawGolf,147.0016396389883,450.51599999999996
RabbidsAliveKicking,171.5016396389883,450.51599999999996
TheChroniclesofRiddickAssaultonDarkAthena,196.0016396389883,450.51599999999996
PiratesoftheCaribbean,220.5016396389883,450.51599999999996
TurningPointFallofLiberty,245.0016396389883,450.51599999999996
NASCAR08,269.5016396389883,450.51599999999996
Links2004,294.0016396389883,450.51599999999996
DeathSmiles,318.5016396389883,450.51599999999996
FableTheJourney,343.0016396389883,450.51599999999996
Chromehounds,367.5016396389883,450.51599999999996
UnrealChampionship2TheLiandriConflict,392.0016396389883,450.51599999999996
KungFuChaos,416.5016396389883,450.51599999999996
SilentHill2RestlessDreams,441.0016396389883,450.51599999999996
VirtuaFighter5Online,465.5016396389883,450.51599999999996
TaoFengFistoftheLotus,490.0016396389883,450.51599999999996
RockRevolution,514.5016396389883,450.51599999999996
